Version,Protocol,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,dataSize
4,6,52.24.123.95,192.168.54.18,443,38822,857988,0
4,6,52.24.123.95,192.168.54.18,443,38822,857989,0
4,6,52.24.123.95,192.168.54.18,443,38822,857989,2920
4,6,52.24.123.95,192.168.54.18,443,38822,860909,21
4,6,93.184.220.29,192.168.54.18,80,52764,864107,0
4,6,93.184.220.29,192.168.54.18,80,52764,864108,788
4,6,52.24.123.95,192.168.54.18,443,38822,860930,0
4,6,52.49.28.239,192.168.54.18,443,41080,870226,0
4,6,52.24.123.95,192.168.54.18,443,38822,860930,258
4,6,52.49.28.239,192.168.54.18,443,41080,870227,2920
4,6,52.49.28.239,192.168.54.18,443,41080,873147,31
4,6,52.49.28.239,192.168.54.18,443,41080,873178,258
4,6,93.184.220.29,192.168.54.18,80,52764,864896,788
4,6,52.24.123.95,192.168.54.18,443,38822,861188,295
4,6,52.49.28.239,192.168.54.18,443,41080,873436,331
4,6,54.230.197.92,192.168.54.18,443,39322,876346,0
4,6,54.230.197.92,192.168.54.18,443,39322,876347,0
4,6,54.230.197.92,192.168.54.18,443,39322,876347,2920
4,6,54.230.197.92,192.168.54.18,443,39322,879267,1460
4,6,54.230.197.92,192.168.54.18,443,39322,880727,4
4,6,54.230.197.92,192.168.54.18,443,39322,880731,0
4,6,54.230.197.92,192.168.54.18,443,39322,880731,258
4,6,54.230.197.92,192.168.54.18,443,39322,880989,2920
4,6,54.230.197.92,192.168.54.18,443,39322,883909,261
4,6,192.168.54.17,192.168.54.18,80,60462,2902623477,0
4,6,192.168.54.17,192.168.54.18,80,60462,2902623478,0
4,6,192.168.54.17,192.168.54.18,80,60462,2902623478,578
4,6,192.168.54.17,192.168.54.18,80,60462,2902624056,3281
4,6,192.168.54.17,192.168.54.18,80,60462,2902627337,12691
4,6,192.168.54.17,192.168.54.18,80,60462,2902640028,504
4,6,192.168.54.17,192.168.54.18,80,60462,2902640532,504
4,6,192.168.54.17,192.168.54.18,80,60462,2902641036,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746017800,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746017801,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746017801,388
4,6,192.168.54.17,192.168.54.18,80,60462,2902641036,443
4,6,192.168.54.17,192.168.54.18,80,60462,2902641479,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746018189,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746018189,443
4,6,192.168.54.17,192.168.54.18,80,60476,3746018632,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746018632,1346
4,6,192.168.54.17,192.168.54.18,80,60476,3746019978,387
4,6,192.168.54.17,192.168.54.18,80,60476,3746020365,0
4,6,52.24.153.184,192.168.54.18,443,42272,900837,0
4,6,52.24.153.184,192.168.54.18,443,42272,900838,0
4,6,52.24.153.184,192.168.54.18,443,42272,900838,2920
4,6,52.24.153.184,192.168.54.18,443,42272,903758,91
4,6,93.184.220.29,192.168.54.18,80,52764,865684,788
4,6,52.24.153.184,192.168.54.18,443,42272,903849,0
4,6,52.24.153.184,192.168.54.18,443,42272,903849,258
4,6,192.168.54.17,192.168.54.18,80,60476,3746020365,8688
4,6,192.168.54.17,192.168.54.18,80,60476,3746029053,419
4,6,192.168.54.17,192.168.54.18,80,60476,3746029472,0
4,6,192.168.54.17,192.168.54.18,80,60488,2859366340,0
4,6,192.168.54.17,192.168.54.18,80,60488,2859366341,0
4,6,192.168.54.17,192.168.54.18,80,60490,770468735,0
4,6,192.168.54.17,192.168.54.18,80,60490,770468736,0
4,6,192.168.54.17,192.168.54.18,80,60492,1084303110,0
4,6,192.168.54.17,192.168.54.18,80,60492,1084303111,0
4,6,192.168.54.17,192.168.54.18,80,60494,2396934440,0
4,6,192.168.54.17,192.168.54.18,80,60494,2396934441,0
4,6,192.168.54.17,192.168.54.18,80,60496,336521860,0
4,6,192.168.54.17,192.168.54.18,80,60496,336521861,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746029472,17376
4,6,192.168.54.17,192.168.54.18,80,60476,3746046848,12543
4,6,52.24.153.184,192.168.54.18,443,42272,904107,381
4,6,54.230.197.228,192.168.54.18,443,46536,919212,0
4,6,54.230.197.228,192.168.54.18,443,46536,919213,2920
4,6,54.230.197.228,192.168.54.18,443,46536,922133,1460
4,6,54.230.197.228,192.168.54.18,443,46536,923593,4
4,6,54.230.197.228,192.168.54.18,443,46536,923597,0
4,6,54.230.197.228,192.168.54.18,443,46536,923597,258
4,6,192.168.54.17,192.168.54.18,80,60488,2859366341,1179
4,6,54.230.197.228,192.168.54.18,443,46536,923855,1460
4,6,54.230.197.228,192.168.54.18,443,46536,925315,4380
4,6,54.230.197.228,192.168.54.18,443,46536,929695,5840
4,6,54.230.197.228,192.168.54.18,443,46536,935535,4380
4,6,54.230.197.228,192.168.54.18,443,46536,939915,1460
4,6,54.230.197.228,192.168.54.18,443,46536,941375,7300
4,6,54.230.197.228,192.168.54.18,443,46536,948675,4380
4,6,54.230.197.228,192.168.54.18,443,46536,953055,2920
4,6,54.230.197.228,192.168.54.18,443,46536,955975,1190
4,6,54.230.197.228,192.168.54.18,443,46536,957165,1460
4,6,54.230.197.228,192.168.54.18,443,46536,958625,4380
4,6,54.230.197.228,192.168.54.18,443,46536,963005,8760
4,6,54.230.197.228,192.168.54.18,443,46536,971765,1460
4,6,54.230.197.228,192.168.54.18,443,46536,973225,5840
4,6,54.230.197.228,192.168.54.18,443,46536,979065,388
4,6,54.230.197.228,192.168.54.18,443,46536,979453,485
4,6,54.230.197.228,192.168.54.18,443,46536,979938,14600
4,6,54.230.197.228,192.168.54.18,443,46536,994538,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1000378,8760
4,6,54.230.197.228,192.168.54.18,443,46536,1009138,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1014978,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1019358,706
4,6,54.230.197.228,192.168.54.18,443,46536,1020064,10220
4,6,54.230.197.228,192.168.54.18,443,46536,1030284,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1036124,7300
4,6,54.230.197.228,192.168.54.18,443,46536,1043424,7300
4,6,54.230.197.228,192.168.54.18,443,46536,1050724,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1052184,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1053644,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1056564,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1062404,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1068244,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1069704,11680
4,6,54.230.197.228,192.168.54.18,443,46536,1081384,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1084304,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1085764,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1091604,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1095984,8760
4,6,54.230.197.228,192.168.54.18,443,46536,1104744,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1106204,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1110584,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1116424,8760
4,6,54.230.197.228,192.168.54.18,443,46536,1125184,16060
4,6,54.230.197.228,192.168.54.18,443,46536,1141244,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1145624,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1148544,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1150004,8760
4,6,54.230.197.228,192.168.54.18,443,46536,1158764,7300
4,6,54.230.197.228,192.168.54.18,443,46536,1166064,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1171904,7300
4,6,54.230.197.228,192.168.54.18,443,46536,1179204,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1180664,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1183584,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1186504,8760
4,6,54.230.197.228,192.168.54.18,443,46536,1195264,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1198184,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1204024,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1205484,7300
4,6,54.230.197.228,192.168.54.18,443,46536,1212784,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1215704,7300
4,6,54.230.197.228,192.168.54.18,443,46536,1223004,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1227384,8760
4,6,54.230.197.228,192.168.54.18,443,46536,1236144,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1241984,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1244904,5840
4,6,54.230.197.228,192.168.54.18,443,46536,1250744,8760
4,6,54.230.197.228,192.168.54.18,443,46536,1259504,1460
4,6,54.230.197.228,192.168.54.18,443,46536,1260964,11680
4,6,54.230.197.228,192.168.54.18,443,46536,1272644,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1277024,2920
4,6,54.230.197.228,192.168.54.18,443,46536,1279944,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1284324,4380
4,6,54.230.197.228,192.168.54.18,443,46536,1288704,1460
4,6,192.168.54.17,192.168.54.18,80,60490,770468736,835
4,6,54.230.197.228,192.168.54.18,443,46536,1290164,44
4,6,192.168.54.17,192.168.54.18,80,60492,1084303111,824
4,6,192.168.54.17,192.168.54.18,80,60494,2396934441,6495
4,6,192.168.54.17,192.168.54.18,80,60476,3746059391,0
4,6,192.168.54.17,192.168.54.18,80,60494,2396940936,0
4,6,192.168.54.17,192.168.54.18,80,60488,2859367520,0
4,6,192.168.54.17,192.168.54.18,80,60490,770469571,0
4,6,192.168.54.17,192.168.54.18,80,60492,1084303935,0
4,6,192.168.54.17,192.168.54.18,80,60496,336521861,1530
4,6,192.168.54.17,192.168.54.18,80,60496,336523391,0
4,6,192.168.54.17,192.168.54.18,80,60476,3746059391,10918
4,6,192.168.54.17,192.168.54.18,80,60476,3746070309,369
4,6,192.168.54.17,192.168.54.18,80,60476,3746070678,0
4,6,192.168.54.17,192.168.54.18,80,60494,2396940936,459
4,6,192.168.54.17,192.168.54.18,80,60494,2396941395,0
4,6,192.168.54.17,192.168.54.18,80,60488,2859367520,576
4,6,192.168.54.17,192.168.54.18,80,60488,2859368096,0
4,6,192.168.54.17,192.168.54.18,80,60490,770469571,10914
4,6,192.168.54.17,192.168.54.18,80,60490,770480485,8736
4,6,192.168.54.17,192.168.54.18,80,60492,1084303935,9738
4,6,192.168.54.17,192.168.54.18,80,60492,1084313673,8406
4,6,192.168.54.17,192.168.54.18,80,60492,1084322079,8406
4,6,192.168.54.17,192.168.54.18,80,60492,1084330485,9438
4,6,192.168.54.17,192.168.54.18,80,60492,1084339923,8406
4,6,192.168.54.17,192.168.54.18,80,60492,1084348329,4008
4,6,192.168.54.17,192.168.54.18,80,60496,336523391,9759
4,6,192.168.54.17,192.168.54.18,80,60496,336533150,2180
4,6,192.168.54.17,192.168.54.18,80,60476,3746070678,5792
4,6,192.168.54.17,192.168.54.18,80,60476,3746076470,3946
4,6,192.168.54.17,192.168.54.18,80,60476,3746080416,8406
4,6,192.168.54.17,192.168.54.18,80,60476,3746088822,7682
4,6,192.168.54.17,192.168.54.18,80,60494,2396941395,9759
4,6,192.168.54.17,192.168.54.18,80,60494,2396951154,8406
4,6,192.168.54.17,192.168.54.18,80,60494,2396959560,6198
4,6,192.168.54.17,192.168.54.18,80,60488,2859368096,10922
4,6,192.168.54.17,192.168.54.18,80,60488,2859379018,6960
4,6,62.149.140.114,192.168.54.18,80,47072,1004981,0
4,6,62.149.140.114,192.168.54.18,80,47072,1004982,2920
4,6,62.149.140.114,192.168.54.18,80,47072,1007902,2920
4,6,62.149.140.114,192.168.54.18,80,47072,1010822,1424
4,6,62.149.140.114,192.168.54.18,80,47072,1012246,1460
4,6,62.149.140.114,192.168.54.18,80,47072,1013706,5840
4,6,62.149.140.114,192.168.54.18,80,47072,1019546,7300
4,6,62.149.140.114,192.168.54.18,80,47072,1026846,10220
4,6,62.149.140.114,192.168.54.18,80,47072,1037066,4380
4,6,62.149.140.114,192.168.54.18,80,47072,1041446,1460
4,6,62.149.140.114,192.168.54.18,80,47072,1042906,2920
4,6,62.149.140.114,192.168.54.18,80,47072,1045826,1460
4,6,62.149.140.114,192.168.54.18,80,47072,1047286,605
4,6,62.149.140.114,192.168.54.18,80,47072,1047891,8760
4,6,62.149.140.114,192.168.54.18,80,47072,1056651,1460
4,6,62.149.140.114,192.168.54.18,80,47072,1058111,7300
4,6,62.149.140.114,192.168.54.18,80,47072,1065411,14600
4,6,62.149.140.114,192.168.54.18,80,47072,1080011,5840
4,6,62.149.140.114,192.168.54.18,80,47072,1085851,8760
4,6,62.149.140.114,192.168.54.18,80,47072,1094611,2920
4,6,62.149.140.114,192.168.54.18,80,47072,1097531,11680
4,6,62.149.140.114,192.168.54.18,80,47072,1109211,14600
4,6,62.149.140.114,192.168.54.18,80,47072,1123811,1460
4,6,62.149.140.114,192.168.54.18,80,47072,1125271,10220
4,6,62.149.140.114,192.168.54.18,80,47072,1135491,0
4,6,62.149.140.114,192.168.54.18,80,47072,1135491,16060
4,6,62.149.140.114,192.168.54.18,80,47086,1011110,0
4,6,62.149.140.114,192.168.54.18,80,47088,1017239,0
4,6,62.149.140.114,192.168.54.18,80,47088,1017240,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1020160,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1024540,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1028920,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1030380,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1031840,5840
4,6,62.149.140.114,192.168.54.18,80,47088,1037680,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1042060,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1046440,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1049360,1460
4,6,62.149.140.114,192.168.54.18,80,47086,1011111,0
4,6,62.149.140.114,192.168.54.18,80,47088,1050820,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1052280,10220
4,6,62.149.140.114,192.168.54.18,80,47088,1062500,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1065420,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1066880,8760
4,6,62.149.140.114,192.168.54.18,80,47088,1075640,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1077100,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1080020,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1084400,8760
4,6,62.149.140.114,192.168.54.18,80,47088,1093160,7300
4,6,62.149.140.114,192.168.54.18,80,47088,1100460,11680
4,6,62.149.140.114,192.168.54.18,80,47088,1112140,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1115060,5840
4,6,62.149.140.114,192.168.54.18,80,47088,1120900,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1122360,8760
4,6,62.149.140.114,192.168.54.18,80,47088,1131120,5840
4,6,62.149.140.114,192.168.54.18,80,47088,1136960,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1139880,5840
4,6,62.149.140.114,192.168.54.18,80,47088,1145720,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1148640,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1150100,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1151560,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1154480,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1155940,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1158860,8760
4,6,62.149.140.114,192.168.54.18,80,47088,1167620,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1169080,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1170540,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1172000,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1174920,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1179300,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1183680,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1185140,4380
4,6,62.149.140.114,192.168.54.18,80,47088,1189520,8760
4,6,62.149.140.114,192.168.54.18,80,47088,1198280,8760
4,6,62.149.140.114,192.168.54.18,80,47088,1207040,7300
4,6,62.149.140.114,192.168.54.18,80,47088,1214340,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1217260,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1220180,10220
4,6,62.149.140.114,192.168.54.18,80,47088,1230400,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1233320,13140
4,6,62.149.140.114,192.168.54.18,80,47088,1246460,10220
4,6,62.149.140.114,192.168.54.18,80,47088,1256680,7300
4,6,62.149.140.114,192.168.54.18,80,47088,1263980,1460
4,6,62.149.140.114,192.168.54.18,80,47088,1265440,7300
4,6,62.149.140.114,192.168.54.18,80,47088,1272740,5840
4,6,62.149.140.114,192.168.54.18,80,47088,1278580,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1281500,14600
4,6,62.149.140.114,192.168.54.18,80,47088,1296100,16060
4,6,62.149.140.114,192.168.54.18,80,47088,1312160,13140
4,6,62.149.140.114,192.168.54.18,80,47088,1325300,1298
4,6,62.149.140.114,192.168.54.18,80,47086,1011111,469
4,6,62.149.140.114,192.168.54.18,80,47088,1326598,0
4,6,62.149.140.114,192.168.54.18,80,47088,1326598,1349
4,6,62.149.140.114,192.168.54.18,80,47088,1327947,5
4,6,62.149.140.114,192.168.54.18,80,47088,1327952,0
4,6,62.149.140.114,192.168.54.18,80,47088,1327952,411
4,6,62.149.140.114,192.168.54.18,80,47088,1328363,0
4,6,62.149.140.114,192.168.54.18,80,47088,1328363,14600
4,6,62.149.140.114,192.168.54.18,80,47088,1342963,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1345883,11680
4,6,62.149.140.114,192.168.54.18,80,47096,1023371,0
4,6,62.149.140.114,192.168.54.18,80,47098,1029503,0
4,6,62.149.140.114,192.168.54.18,80,47100,1035635,0
4,6,62.149.140.114,192.168.54.18,80,47102,1041767,0
4,6,62.149.140.114,192.168.54.18,80,47088,1357563,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1360483,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1363403,1082
4,6,62.149.140.114,192.168.54.18,80,47088,1364485,0
4,6,62.149.140.114,192.168.54.18,80,47100,1035636,0
4,6,62.149.140.114,192.168.54.18,80,47102,1041768,0
4,6,62.149.140.114,192.168.54.18,80,47096,1023372,0
4,6,62.149.140.114,192.168.54.18,80,47098,1029504,0
4,6,62.149.140.114,192.168.54.18,80,47086,1011580,0
4,6,62.149.140.114,192.168.54.18,80,47086,1011580,4380
4,6,62.149.140.114,192.168.54.18,80,47086,1015960,5840
4,6,62.149.140.114,192.168.54.18,80,47086,1021800,4380
4,6,62.149.140.114,192.168.54.18,80,47086,1026180,8760
4,6,62.149.140.114,192.168.54.18,80,47086,1034940,5840
4,6,62.149.140.114,192.168.54.18,80,47086,1040780,1460
4,6,62.149.140.114,192.168.54.18,80,47086,1042240,11680
4,6,62.149.140.114,192.168.54.18,80,47086,1053920,1460
4,6,62.149.140.114,192.168.54.18,80,47086,1055380,1460
4,6,62.149.140.114,192.168.54.18,80,47086,1056840,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1059760,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1364485,1460
4,6,62.149.140.114,192.168.54.18,80,47086,1062680,4380
4,6,62.149.140.114,192.168.54.18,80,47086,1067060,7300
4,6,62.149.140.114,192.168.54.18,80,47086,1074360,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1077280,8760
4,6,62.149.140.114,192.168.54.18,80,47086,1086040,2920
4,6,62.149.140.114,192.168.54.18,80,47088,1365945,79
4,6,62.149.140.114,192.168.54.18,80,47086,1088960,8760
4,6,62.149.140.114,192.168.54.18,80,47086,1097720,5840
4,6,62.149.140.114,192.168.54.18,80,47086,1103560,7300
4,6,62.149.140.114,192.168.54.18,80,47086,1110860,7300
4,6,62.149.140.114,192.168.54.18,80,47086,1118160,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1121080,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1124000,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1126920,14600
4,6,62.149.140.114,192.168.54.18,80,47086,1141520,14600
4,6,62.149.140.114,192.168.54.18,80,47086,1156120,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1159040,4380
4,6,62.149.140.114,192.168.54.18,80,47086,1163420,4380
4,6,62.149.140.114,192.168.54.18,80,47086,1167800,13140
4,6,62.149.140.114,192.168.54.18,80,47086,1180940,7300
4,6,62.149.140.114,192.168.54.18,80,47086,1188240,17520
4,6,62.149.140.114,192.168.54.18,80,47086,1205760,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1208680,2920
4,6,62.149.140.114,192.168.54.18,80,47086,1211600,8760
4,6,62.149.140.114,192.168.54.18,80,47098,1029504,1460
4,6,62.149.140.114,192.168.54.18,80,47098,1030964,51
4,6,62.149.140.114,192.168.54.18,80,47098,1031015,5
4,6,62.149.140.114,192.168.54.18,80,47086,1220360,1460
4,6,62.149.140.114,192.168.54.18,80,47086,1221820,1233
4,6,62.149.140.114,192.168.54.18,80,47096,1023372,2920
4,6,62.149.140.114,192.168.54.18,80,47096,1026292,984
4,6,62.149.140.114,192.168.54.18,80,47096,1027276,5
4,6,62.149.140.114,192.168.54.18,80,47100,1035636,1325
4,6,62.149.140.114,192.168.54.18,80,47100,1036961,5
4,6,62.149.140.114,192.168.54.18,80,47102,1041768,2920
4,6,62.149.140.114,192.168.54.18,80,47102,1044688,4380
